Thành phố Cao Bằng,"Phường Sông Hiến
Phường Đề Thám
Phường Hợp Giang
Xã Hưng Đạ
Xã Hoàng Tung (huyện Hòa An)",Phường Thục Phán,
Thành phố Cao Bằng,"Phường Tân Giang
Phường Duyệt Trung
Phường Hòa Chung
Xã Chu Trinh
Xã Lê Chung (huyện Hòa An)",Phường Tân Giang,
Thành phố Cao Bằng,"Phường Sông Bằng
Phường Ngọc Xuân
Xã Vĩnh Quang",Phường Nùng Trí Cao,
Huyện Bảo Lạc,"Thị trấn Bảo Lạc
Xã Bảo Toàn
Xã Hồng Trị",Xã Bảo Lạc,
Huyện Bảo Lạc,"Xã Sơn Lộ
Xã Sơn Lập",Xã Sơn Lộ,
Huyện Bảo Lạc,"Xã Hưng Thịnh
Xã Hưng Đạo
Xã Kim Cúc",Xã Hưng Đạo,
Huyện Bảo Lạc,"Xã Cốc Pàng
Xã Đức Hạnh (huyện Bảo Lâm)",Xã Cốc Pàng,
Huyện Bảo Lạc,"Xã Thượng Hà
Xã Cô Ba",Xã Thượng Hà,
Huyện Bảo Lạc,"Xã Phan Thanh
Xã Khánh Xuân",Xã Khánh Xuân,
Huyện Bảo Lạc,"Xã Xuân Trường
Xã Hồng An",Xã Xuân Trường,
Huyện Bảo Lạc,"Xã Huy Giáp
Xã Đình Phùng",Xã Huy Giáp,
Huyện Bảo Lâm,"Thị trấn Pác Miầu
Xã Mông Ân
Xã Vĩnh Phong",Xã Bảo Lâm,
Huyện Bảo Lâm,"Xã Quảng Lâm
Xã Thạch Lâm",Xã Quảng Lâm,
Huyện Bảo Lâm,"Xã Nam Quang
Xã Nam Cao",Xã Nam Quang,
Huyện Bảo Lâm,"Xã Lý Bôn
Xã Vĩnh Quang",Xã Lý Bôn,
Huyện Bảo Lâm,"Xã Yên Thổ
Xã Thái Sơn
Xã Thái Học",Xã Yên Thổ,
Huyện Hạ Lang,"Thị trấn Thanh Nhật
Xã Thống Nhất
Xã Thị Hoa",Xã Hạ Lang,
Huyện Hạ Lang,"Xã Lý Quốc
Xã Minh Long
Xã Đồng Loan",Xã Lý Quốc,
Huyện Hạ Lang,"Xã Kim Loan
Xã An Lạc
Xã Cô Ngân
Xã Vinh Quý",Xã Vinh Quý,
Huyện Hạ Lang,"Xã An Lạc
Xã Đức Quang
Xã Kim Loan",Xã Thắng Lợi,
Huyện Hà Quảng,"Thị trấn Thông Nông
Xã Lương Can
Xã Đa Thông",Xã Thông Nông,
Huyện Hà Quảng,"Thị trấn Xuân Hòa
Xã Quý Quân
Xã Sóc Hà
Xã Trường Hà",Xã Trường Hà,
Huyện Hà Quảng,"Xã Ngọc Đào
Xã Mã Ba
Xã Hồng Sỹ",Xã Hà Quảng,
Huyện Hà Quảng,"Xã Yên Sơn
Xã Ngọc Động
Xã Thanh Long",Xã Thanh Long,
Huyện Hà Quảng,"Xã Cần Nông
Xã Cần Yên
Xã Lương Thôn",Xã Cần Yên,
Huyện Hà Quảng,"Xã Lũng Nặm
Xã Thượng Thôn",Xã Lũng Nặm,
Huyện Hà Quảng,"Xã Tổng Cọt
Xã Nội Thôn
Xã Cải Viên",Xã Tổng Cọt,
Huyện Hòa An,"Thị trấn Nước Hai
Xã Hồng Việt
Xã Đại Tiến",Xã Hòa An,
Huyện Hòa An,"Xã Nam Tuấn
Xã Đức Long
Xã Dân Chủ",Xã Nam Tuấn,
Huyện Hòa An,"Xã Bạch Đằng
Xã Bình Dương
Xã Thịnh Vượng (huyện Nguyên Bình)",Xã Bạch Đằng,
Huyện Hòa An,"Xã Nguyễn Huệ
Xã Quang Trung
Xã Ngũ Lão",Xã Nguyễn Huệ,
Huyện Nguyên Bình,"Thị trấn Nguyên Bình
Xã Thể Dục
Xã Vũ Minh",Xã Nguyên Bình,
Huyện Nguyên Bình,"Thị trấn Tĩnh Túc
Xã Triệu Nguyên
Xã Vũ Nông",Xã Tĩnh Túc,
Huyện Nguyên Bình,"Xã Ca Thành
Xã Yên Lạc",Xã Ca Thành,
Huyện Nguyên Bình,"Xã Phan Thanh
Xã Mai Long",Xã Phan Thanh,
Huyện Nguyên Bình,"Xã Thành Công
Xã Quang Thành",Xã Thành Công,
Huyện Nguyên Bình,"Xã Hưng Đạo
Xã Tam Kim
Xã Hoa Thám",Xã Tam Kim,
Huyện Nguyên Bình,"Xã Minh Tâm
Xã Trương Lương (huyện Hòa An)",Xã Minh Tâm,
Huyện Quảng Hòa,"Thị trấn Quảng Uyên
Xã Phi Hải
Xã Chí Thảo
Xã Phúc Sen",Xã Quảng Uyên,
Huyện Quảng Hòa,"Thị trấn Hòa Thuận
Thị trấn Tà Lùng
Xã Mỹ Hưng
Xã Đại Sơn",Xã Phục Hòa,
Huyện Quảng Hòa,"Xã Bế Văn Đàn
Xã Cách Linh
Xã Hồng Quang",Xã Bế Văn Đàn,
Huyện Quảng Hòa,"Xã Quảng Hưng
Xã Độc Lập
Xã Cai Bộ",Xã Độc Lập,
Huyện Quảng Hòa,"Xã Ngọc Động
Xã Tự Do
Xã Hạnh Phúc",Xã Hạnh Phúc,
Huyện Thạch An,"Thị trấn Đông Khê
Xã Đức Xuân
Xã Trọng Con",Xã Đông Khê,
Huyện Thạch An,"Xã Lê Lai
Xã Vân Trình
Xã Tiên Thành (huyện Quảng Hòa)",Xã Thạch An,
Huyện Thạch An,"Xã Minh Khai
Xã Quang Trọng",Xã Minh Khai,
Huyện Thạch An,"Xã Canh Tân
Xã Đức Thông",Xã Canh Tân,
Huyện Thạch An,"Xã Kim Đồng
Xã Thái Cường
Xã Hồng Nam (huyện Hòa An)",Xã Kim Đồng,
Huyện Thạch An,"Xã Đức Long
Xã Thụy Hùng
Xã Lê Lợi",Xã Đức Long,
Huyện Trùng Khánh,"Thị trấn Trùng Khánh
Xã Lăng Hiếu
Xã Đức Hồng
Xã Khâm Thành",Xã Trùng Khánh,
Huyện Trùng Khánh,"Thị trấn Trà Lĩnh
Xã Cao Chương
Xã Quốc Toản (huyện Quảng Hòa)",Xã Trà Lĩnh,
Huyện Trùng Khánh,"Xã Quang Hán
Xã Quang Vinh",Xã Quang Hán,
Huyện Trùng Khánh,"Xã Quang Trung
Xã Xuân Nội
Xã Tri Phương",Xã Quang Trung,
Huyện Trùng Khánh,"Xã Đoài Dương
Xã Cao Thăng
Xã Trung Phúc",Xã Đoài Dương,
Huyện Trùng Khánh,"Xã Đàm Thủy
Xã Chí Viễn
Xã Phong Châu",Xã Đàm Thủy,
Huyện Trùng Khánh,"Xã Đình Phong
Xã Ngọc Khê
Xã Ngọc Côn
Xã Phong Nặm",Xã Đình Phong,
