Quận Cẩm Lệ,"Các phường Hòa Thọ Tây, Hòa Thọ Đông, Khuê Trung",Phường Cẩm Lệ,
Quận Cẩm Lệ,"Phường Hòa Xuân
Các xã Hòa Châu (huyện Hòa Vang), Hòa Phước (huyện Hòa Vang)",Phường Hòa Xuân,
Quận Hải Châu,"Các phường Hải Châu, Phước Ninh, Thanh Bình, Thuận Phước, Thạch Thang",Phường Hải Châu,
Quận Hải Châu,"Các phường Bình Thuận, Hòa Thuận Tây, Hòa Cường Bắc, Hòa Cường Nam",Phường Hòa Cường,
Quận Liên Chiểu,"Các phường Hòa Minh, Hòa Khánh Nam
Xã Hòa Sơn (huyện Hòa Vang)",Phường Hòa Khánh,
Quận Liên Chiểu,"Phường Hòa Khánh Bắc
Một phần xã Hòa Liên (huyện Hòa Vang)",Phường Liên Chiểu,
Quận Liên Chiểu,"Các phường Hòa Hiệp Bắc, Hòa Hiệp Nam
Xã Hòa Bắc (huyện Hòa Vang)
Một phần xã Hòa Liên (huyện Hòa Vang)",Phường Hải Vân,
Quận Ngũ Hành Sơn,"Các phường Mỹ An, Khuê Mỹ, Hòa Hải, Hòa Quý",Phường Ngũ Hành Sơn,
Quận Sơn Trà,"Các phường Phước Mỹ, An Hải Bắc, An Hải Nam",Phường An Hải,
Quận Sơn Trà,"Các phường Thọ Quang, Nại Hiên Đông, Mân Thái",Phường Sơn Trà,
Quận Thanh Khê,"Các phường Xuân Hà, Chính Gián, Thạc Gián, Thanh Khê Đông, Thanh Khê Tây",Phường Thanh Khê,
Quận Thanh Khê,"Các phường An Khê, Hòa An (quận Cẩm Lệ), Hòa Phát (quận Cẩm Lệ)",Phường An Khê,
Huyện Hòa Vang,"Các xã Hòa Phong, Hòa Phú",Xã Hòa Vang,
Huyện Hòa Vang,"Các xã Hòa Tiến, Hòa Khương",Xã Hòa Tiến,
Huyện Hòa Vang,"Các xã Hòa Ninh, Hòa Nhơn",Xã Bà Nà,
Huyện Hoàng Sa,Không phân chia,Đặc khu Hoàng Sa,
Thành phố Tam Kỳ,"Các phường An Mỹ, An Xuân, Trường Xuân",Phường Tam Kỳ,
Thành phố Tam Kỳ,"Các phường Tân Thạnh, Hòa Thuận
Xã Tam Thăng",Phường Bàn Thạch,
Thành phố Tam Kỳ,"Phường An Phú
Các xã Tam Thanh, Tam Phú",Phường Quảng Phú,
Thành phố Tam Kỳ,"Các phường Hòa Hương, An Sơn
Xã Tam Ngọc",Phường Hương Trà,
Thành phố Hội An,"Các phường Minh An, Cẩm Phô, Sơn Phong, Cẩm Nam
Xã Cẩm Kim",Phường Hội An,
Thành phố Hội An,"Các phường Cẩm Châu, Cửa Đại
Xã Cẩm Thanh",Phường Hội An Đông,
Thành phố Hội An,"Các phường Thanh Hà, Tân An, Cẩm An
Xã Cẩm Hà",Phường Hội An Tây,
Thành phố Hội An,Xã Tân Hiệp,Xã Tân Hiệp,
Thị xã Điện Bàn,"Các phường Điện Phương, Điện Minh, Vĩnh Điện",Phường Điện Bàn,
Thị xã Điện Bàn,"Các phường Điện Nam Đông, Điện Nam Trung, Điện Dương, Điện Ngọc, Điện Nam Bắc",Phường Điện Bàn Đông,
Thị xã Điện Bàn,"Các phường Điện An, Điện Thắng Nam, Điện Thắng Trung",Phường An Thắng,
Thị xã Điện Bàn,"Các xã Điện Tiến, Điện Hòa
Phường Điện Thắng Bắc",Phường Điện Bàn Bắc,
Thị xã Điện Bàn,"Các xã Điện Thọ, Điện Phước, Điện Hồng",Xã Điện Bàn Tây,
Thị xã Điện Bàn,"Các xã Điện Phong, Điện Trung, Điện Quang",Xã Gò Nổi,
Huyện Bắc Trà My,"Các xã Trà Đông, Trà Nú, Trà Kót",Xã Trà Liên,
Huyện Bắc Trà My,"Các xã Trà Giáp, Trà Ka",Xã Trà Giáp,
Huyện Bắc Trà My,"Các xã Trà Tân, Trà Giác",Xã Trà Tân,
Huyện Bắc Trà My,"Các xã Trà Đốc, Trà Bui",Xã Trà Đốc,
Huyện Bắc Trà My,"Thị trấn Trà My
Các xã Trà Sơn, Trà Giang, Trà Dương",Xã Trà My,
Huyện Đại Lộc,"Thị trấn Ái Nghĩa
Các xã Đại Hiệp, Đại Hòa, Đại An, Đại Nghĩa",Xã Đại Lộc,
Huyện Đại Lộc,"Các xã Đại Đồng, Đại Hồng, Đại Quang",Xã Hà Nha,
Huyện Đại Lộc,"Các xã Đại Lãnh, Đại Hưng, Đại Sơn",Xã Thượng Đức,
Huyện Đại Lộc,"Các xã Đại Phong, Đại Minh, Đại Cường",Xã Vu Gia,
Huyện Đại Lộc,"Các xã Đại Tân, Đại Thắng, Đại Chánh, Đại Thạnh",Xã Phú Thuận,
Huyện Đông Giang,"Các xã Tư, Ba",Xã Sông Vàng,
Huyện Đông Giang,"Các xã Sông Kôn, A Ting, Jơ Ngây",Xã Sông Kôn,
Huyện Đông Giang,"Thị trấn Prao
Các xã Tà Lu, A Rooi, Zà Hung",Xã Đông Giang,
Huyện Đông Giang,"Các xã Kà Dăng, Mà Cooih",Xã Bến Hiên,
Huyện Duy Xuyên,"Các xã Duy Nghĩa, Duy Thành, Duy Hải",Xã Duy Nghĩa,
Huyện Duy Xuyên,"Thị trấn Nam Phước
Các xã Duy Phước, Duy Vinh",Xã Nam Phước,
Huyện Duy Xuyên,"Các xã Duy Trung, Duy Sơn, Duy Trinh",Xã Duy Xuyên,
Huyện Duy Xuyên,"Các xã Duy Châu, Duy Hòa, Duy Phú, Duy Tân",Xã Thu Bồn,
Huyện Hiệp Đức,"Thị trấn Tân Bình
Các xã Quế Tân, Quế Lưu",Xã Hiệp Đức,
Huyện Hiệp Đức,"Các xã Thăng Phước, Bình Sơn, Quế Thọ, Bình Lâm",Xã Việt An,
Huyện Hiệp Đức,"Các xã Phước Trà, Sông Trà, Phước Gia",Xã Phước Trà,
Huyện Nam Giang,Thị trấn Thạnh Mỹ,Xã Thạnh Mỹ,
Huyện Nam Giang,"Các xã Cà Dy, Tà Bhing, Tà Pơơ",Xã Bến Giằng,
Huyện Nam Giang,"Các xã Zuôih, Chà Vàl",Xã Nam Giang,
Huyện Nam Giang,"Các xã Đắc Pring, Đắc Pre",Xã Đắc Pring,
Huyện Nam Giang,"Các xã La Dêê, Đắc Tôi",Xã La Dêê,
Huyện Nam Giang,"Các xã La Êê, Chơ Chun",Xã La Êê,
Huyện Nam Trà My,"Các xã Trà Mai, Trà Don",Xã Trà Mai,
Huyện Nam Trà My,"Các xã Trà Tập, Trà Cang",Xã Trà Tập,
Huyện Nam Trà My,"Các xã Trà Vân, Trà Vinh",Xã Trà Vân,
Huyện Nam Trà My,"Các xã Trà Linh, Trà Nam",Xã Trà Linh,
Huyện Nam Trà My,"Các xã Trà Leng, Trà Dơn",Xã Trà Leng,
Huyện Núi Thành,,,
Huyện Núi Thành,"Thị trấn Núi Thành
Các xã Tam Hiệp, Tam Giang, Tam Quang, Tam Nghĩa",Xã Núi Thành,
Huyện Núi Thành,"Các xã Tam Mỹ Đông, Tam Mỹ Tây, Tam Trà",Xã Tam Mỹ,
Huyện Núi Thành,"Các xã Tam Hòa, Tam Anh Bắc, Tam Anh Nam",Xã Tam Anh,
Huyện Núi Thành,"Các xã Tam Sơn, Tam Thạnh",Xã Đức Phú,
Huyện Núi Thành,"Các xã Tam Xuân I, Tam Xuân II, Tam Tiến",Xã Tam Xuân,
Huyện Núi Thành,Xã Tam Hải,Xã Tam Hải,
Huyện Phú Ninh,"Các xã Tam An, Tam Thành, Tam Phước, Tam Lộc",Xã Tây Hồ,
Huyện Phú Ninh,"Thị trấn Phú Thịnh
Các xã Tam Đàn, Tam Thái",Xã Chiên Đàn,
Huyện Phú Ninh,"Các xã Tam Dân, Tam Đại, Tam Lãnh",Xã Phú Ninh,
Huyện Phước Sơn,"Thị trấn Khâm Đức
Xã Phước Xuân",Xã Khâm Đức,
Huyện Phước Sơn,"Các xã Phước Năng, Phước Đức, Phước Mỹ",Xã Phước Năng,
Huyện Phước Sơn,"Các xã Phước Chánh, Phước Công",Xã Phước Chánh,
Huyện Phước Sơn,"Các xã Phước Thành, Phước Lộc
Xã Phước Kim",Xã Phước Thành,
Huyện Phước Sơn,"Các xã Phước Hiệp, Phước Hòa",Xã Phước Hiệp,
Huyện Quế Sơn,"Thị trấn Hương An
Các xã Quế Xuân 1, Quế Xuân 2, Quế Phú",Xã Xuân Phú,
Huyện Quế Sơn,"Các xã Quế Mỹ, Quế Hiệp, Quế Châu, Quế Thuận",Xã Quế Sơn Trung,
Huyện Quế Sơn,"Thị trấn Đông Phú
Các xã Quế Minh, Quế An, Quế Long, Quế Phong",Xã Quế Sơn,
Huyện Quế Sơn,"Thị trấn Trung Phước
Xã Quế Lộc",Xã Nông Sơn,
Huyện Quế Sơn,"Các xã Quế Lâm, Phước Ninh, Ninh Phước",Xã Quế Phước,
Huyện Tây Giang,"Các xã A Vương, Bha Lêê",Xã A Vương,
Huyện Tây Giang,"Các xã A Tiêng, A Nông, Dang, Lăng",Xã Tây Giang,
Huyện Tây Giang,"Các xã Tr'Hy, A Xan, Ch'Ơm, Ga Ri",Xã Hùng Sơn,
Huyện Thăng Bình,"Thị trấn Hà Lam
Các xã Bình Nguyên, Bình Phục, Bình Quý",Xã Thăng Bình,
Huyện Thăng Bình,"Các xã Bình Triều, Bình Giang, Bình Đào, Bình Minh, Bình Dương",Xã Thăng An,
Huyện Thăng Bình,"Các xã Bình Nam, Bình Hải, Bình Sa",Xã Thăng Trường,
Huyện Thăng Bình,"Các xã Bình An, Bình Trung, Bình Tú",Xã Thăng Điền,
Huyện Thăng Bình,"Các xã Bình Phú, Bình Quế",Xã Thăng Phú,
Huyện Thăng Bình,"Các xã Bình Lãnh, Bình Trị, Bình Định",Xã Đồng Dương,
Huyện Tiên Phước,"Thị trấn Tiên Kỳ
Các xã Tiên Mỹ, Tiên Thọ, Tiên Phong",Xã Tiên Phước,
Huyện Tiên Phước,"Các xã Tiên Hà, Tiên Châu, Tiên Sơn",Xã Sơn Cẩm Hà,
Huyện Tiên Phước,"Các xã Tiên An, Tiên Cảnh, Tiên Lộc, Tiên Lập",Xã Thạnh Bình,
Huyện Tiên Phước,"Các xã Tiên Ngọc, Tiên Lãnh, Tiên Hiệp",Xã Lãnh Ngọc,
