Quận 1,"Phường Tân Định
Một phần phường Đa Kao",Phường Tân Định,
Quận 1,"Phường Bến Nghé
Một phần các phường Nguyễn Thái Bình, Đa Kao",Phường Sài Gòn,
Quận 1,"Các phường Bến Thành, Phạm Ngũ Lão
Một phần các phường Cầu Ông Lãnh, Nguyễn Thái Bình",Phường Bến Thành,
Quận 1,"Các phường Nguyễn Cư Trinh, Cô Giang, Cầu Kho
Một phần phường Cầu Ông Lãnh",Phường Cầu Ông Lãnh,
Quận 3,"Các phường 1, 2, 3, 5
Một phần phường 4",Phường Bàn Cờ,
Quận 3,"Phường Võ Thị Sáu
Một phần phường 4",Phường Xuân Hòa,
Quận 3,"Các phường 9, 11, 12, 14",Phường Nhiêu Lộc,
Quận 4,"Các phường 13, 16, 18
Một phần phường 15",Phường Xóm Chiếu,
Quận 4,"Các phường 8, 9
Một phần các phường 2, 4, 15",Phường Khánh Hội,
Quận 4,"Các phường 1, 3
Một phần các phường 2, 4",Phường Vĩnh Hội,
Quận 5,"Các phường 1, 2, 4",Phường Chợ Quán,
Quận 5,"Các phường 5, 7, 9",Phường An Đông,
Quận 5,"Các phường 11, 12, 13, 14",Phường Chợ Lớn,
Quận 6,"Các phường 1, 7, 8",Phường Bình Tiên,
Quận 6,"Các phường 2, 9",Phường Bình Tây,
Quận 6,"Các phường 10, 11
Một phần phường 16 (quận 8)",Phường Bình Phú,
Quận 6,"Các phường 12, 13, 14",Phường Phú Lâm,
Quận 7,"Phường Tân Phú
Một phần phường Phú Mỹ",Phường Tân Mỹ,
Quận 7,"Các phường Tân Hưng, Tân Kiểng, Tân Phong, Tân Quy",Phường Tân Hưng,
Quận 7,"Các phường Bình Thuận, Tân Thuận Đông, Tân Thuận Tây",Phường Tân Thuận,
Quận 7,"Phường Phú Thuận
Một phần phường Phú Mỹ",Phường Phú Thuận,
Quận 8,"Các phường Rạch Ông, Hưng Phú, 4
Một phần phường 5",Phường Chánh Hưng,
Quận 8,"Các phường 6, 7
Một phần phường 5
Xã An Phú Tây (huyện Bình Chánh)",Phường Bình Đông,
Quận 8,"Các phường Xóm Củi, 14, 15
Một phần phường 16",Phường Phú Định,
Quận 10,"Các phường 1, 2, 4, 9, 10",Phường Vườn Lài,
Quận 10,"Các phường 6, 8, 14",Phường Diên Hồng,
Quận 10,"Các phường 12, 13, 15",Phường Hòa Hưng,
Quận 11,"Các phường 3, 10
Một phần phường 8",Phường Bình Thới,
Quận 11,"Các phường 11, 15
Một phần phường 8",Phường Phú Thọ,
Quận 11,"Các phường 5, 14",Phường Hòa Bình,
Quận 11,"Các phường 1, 7, 16",Phường Minh Phụng,
Quận 12,"Các phường Tân Thới Nhất, Tân Hưng Thuận, Đông Hưng Thuận",Phường Đông Hưng Thuận,
Quận 12,"Các phường Trung Mỹ Tây, Tân Chánh Hiệp",Phường Trung Mỹ Tây,
Quận 12,"Các phường Hiệp Thành, Tân Thới Hiệp",Phường Tân Thới Hiệp,
Quận 12,"Các phường Thới An, Thạnh Xuân",Phường Thới An,
Quận 12,"Các phường An Phú Đông, Thạnh Lộc",Phường An Phú Đông,
Quận Bình Tân,"Phường Bình Hưng Hòa B
Một phần các phường Bình Trị Đông A, Tân Tạo",Phường Bình Tân,
Quận Bình Tân,"Phường Bình Hưng Hòa
Một phần các phường Bình Hưng Hòa A, Sơn Kỳ (quận Tân Phú)",Phường Bình Hưng Hòa,
Quận Bình Tân,"Phường Bình Trị Đông 
Một phần các phường Bình Trị Đông A, Bình Hưng Hòa A",Phường Bình Trị Đông,
Quận Bình Tân,"Các phường An Lạc, An Lạc A, Bình Trị Đông B",Phường An Lạc,
Quận Bình Tân,"Phường Tân Tạo A
Một phần phường Tân Tạo và xã Tân Kiên (huyện Bình Chánh)",Phường Tân Tạo,
Quận Bình Thạnh,"Các phường 1, 2, 7, 17",Phường Gia Định,
Quận Bình Thạnh,"Các phường 5, 11, 13",Phường Bình Lợi Trung,
Quận Bình Thạnh,"Các phường 19, 22, 25",Phường Thạnh Mỹ Tây,
Quận Bình Thạnh,"Các phường 27, 28",Phường Bình Quới,
Quận Bình Thạnh,"Các phường 12, 14, 26",Phường Bình Thạnh,
Quận Gò Vấp,"Các phường 1, 3",Phường Hạnh Thông,
Quận Gò Vấp,"Các phường 5, 6",Phường An Nhơn,
Quận Gò Vấp,"Các phường 10, 17",Phường Gò Vấp,
Quận Gò Vấp,"Các phường 8, 11",Phường Thông Tây Hội,
Quận Gò Vấp,"Các phường 12, 14",Phường An Hội Tây,
Quận Gò Vấp,"Các phường 15, 16",Phường An Hội Đông,
Quận Phú Nhuận,"Các phường 4, 5, 9",Phường Đức Nhuận,
Quận Phú Nhuận,"Các phường 8, 10, 11, 13
Một phần phường 15",Phường Phú Nhuận,
Quận Phú Nhuận,"Các phường 1, 2, 7
Một phần phường 15",Phường Cầu Kiệu,
Quận Tân Bình,"Các phường 1, 2, 3",Phường Tân Sơn Hòa,
Quận Tân Bình,"Các phường 4, 5, 7",Phường Tân Sơn Nhất,
Quận Tân Bình,"Các phường 6, 8, 9",Phường Tân Hòa,
Quận Tân Bình,"Các phường 10, 11, 12",Phường Bảy Hiền,
Quận Tân Bình,"Các phường 13, 14
Một phần phường 15",Phường Tân Bình,
Quận Tân Bình,Một phần phường 15,Phường Tân Sơn,
Quận Tân Phú,"Phường Tây Thạnh
Một phần phường Sơn Kỳ",Phường Tây Thạnh,
Quận Tân Phú,"Phường Tân Sơn Nhì
Một phần các phường Sơn Kỳ, Tân Quý, Tân Thành",Phường Tân Sơn Nhì,
Quận Tân Phú,"Phường Phú Thọ Hòa
Một phần các phường Tân Quý, Tân Thành",Phường Phú Thọ Hòa,
Quận Tân Phú,"Các phường Phú Thạnh, Hiệp Tân
Một phần phường Tân Thới Hòa",Phường Phú Thạnh,
Quận Tân Phú,"Các phường Phú Trung, Hòa Thạnh
Một phần các phường Tân Thành, Tân Thới Hòa",Phường Tân Phú,
Thành phố Thủ Đức,"Các phường Hiệp Bình Chánh, Hiệp Bình Phước
Một phần phường Linh Đông",Phường Hiệp Bình,
Thành phố Thủ Đức,"Các phường Bình Chiểu, Tam Bình, Tam Phú",Phường Tam Bình,
Thành phố Thủ Đức,"Các phường Bình Thọ, Linh Chiểu, Trường Thọ
Một phần các phường Linh Tây, Linh Đông",Phường Thủ Đức,
Thành phố Thủ Đức,"Các phường Linh Trung, Linh Xuân
Một phần phường Linh Tây",Phường Linh Xuân,
Thành phố Thủ Đức,"Các phường Long Bình, Long Thạnh Mỹ",Phường Long Bình,
Thành phố Thủ Đức,"Các phường Hiệp Phú, Tân Phú, Tăng Nhơn Phú A, Tăng Nhơn Phú B",Phường Tăng Nhơn Phú,
Thành phố Thủ Đức,"Các phường Phước Bình, Phước Long A, Phước Long B",Phường Phước Long,
Thành phố Thủ Đức,"Các phường Long Phước, Trường Thạnh",Phường Long Phước,
Thành phố Thủ Đức,"Các phường Long Trường, Phú Hữu",Phường Long Trường,
Thành phố Thủ Đức,"Các phường An Khánh, An Lợi Đông, Thảo Điền, Thủ Thiêm
Một phần phường An Phú",Phường An Khánh,
Thành phố Thủ Đức,"Các phường Bình Trưng Đông, Bình Trưng Tây
Một phần phường An Phú",Phường Bình Trưng,
Thành phố Thủ Đức,"Các phường Cát Lái, Thạnh Mỹ Lợi",Phường Cát Lái,
Huyện Bình Chánh,"Xã Vĩnh Lộc A
Một phần xã Phạm Văn Hai",Xã Vĩnh Lộc,
Huyện Bình Chánh,"Xã Vĩnh Lộc B
Một phần xã Phạm Văn Hai và phường Tân Tạo (quận Bình Tân)",Xã Tân Vĩnh Lộc,
Huyện Bình Chánh,"Các xã Lê Minh Xuân, Bình Lợi",Xã Bình Lợi,
Huyện Bình Chánh,"Thị trấn Tân Túc
Các xã Tân Kiên, Tân Nhựt
Một phần các phường Tân Tạo A (quận Bình Tân), 16 (quận 8)",Xã Tân Nhựt,
Huyện Bình Chánh,"Các xã Bình Chánh, Tân Quý Tây
Một phần xã An Phú Tây",Xã Bình Chánh,
Huyện Bình Chánh,"Các xã Hưng Long, Qui Đức, Đa Phước",Xã Hưng Long,
Huyện Bình Chánh,"Các xã Bình Hưng, Phong Phú
Một phần phường 7 (quận 8)",Xã Bình Hưng,
Huyện Cần Giờ,"Các xã Bình Khánh, Tam Thôn Hiệp
Một phần xã An Thới Đông",Xã Bình Khánh,
Huyện Cần Giờ,"Xã Lý Nhơn
Một phần xã An Thới Đông",Xã An Thới Đông,
Huyện Cần Giờ,"Thị trấn Cần Thạnh
Xã Long Hòa",Xã Cần Giờ,
Huyện Cần Giờ,Xã Thạnh An,Xã Thạnh An,
Huyện Củ Chi,"Các xã An Nhơn Tây, Phú Mỹ Hưng, An Phú",Xã An Nhơn Tây,
Huyện Củ Chi,"Các xã Trung Lập Thượng, Thái Mỹ, Phước Thạnh",Xã Thái Mỹ,
Huyện Củ Chi,"Các xã Nhuận Đức, Trung Lập Hạ, Phạm Văn Cội",Xã Nhuận Đức,
Huyện Củ Chi,"Thị trấn Củ Chi
Các xã Phước Hiệp, Tân An Hội",Xã Tân An Hội,
Huyện Củ Chi,"Các xã Tân Thạnh Đông, Tân Thạnh Tây, Phú Hòa Đông",Xã Phú Hòa Đông,
Huyện Củ Chi,"Các xã Bình Mỹ, Hòa Phú, Trung An",Xã Bình Mỹ,
Huyện Củ Chi,"Các xã Phước Vĩnh An, Tân Phú Trung, Tân Thông Hội",Xã Củ Chi,
Huyện Hóc Môn,"Thị trấn Hóc Môn
Các xã Tân Hiệp, Tân Xuân",Xã Hóc Môn,
Huyện Hóc Môn,"Các xã Bà Điểm, Xuân Thới Thượng, Trung Chánh",Xã Bà Điểm,
Huyện Hóc Môn,"Các xã Tân Thới Nhì, Xuân Thới Đông, Xuân Thới Sơn",Xã Xuân Thới Sơn,
Huyện Hóc Môn,"Các xã Đông Thạnh, Nhị Bình, Thới Tam Thôn",Xã Đông Thạnh,
Huyện Nhà Bè,"Thị trấn Nhà Bè
Các xã Phú Xuân, Phước Kiển, Phước Lộc",Xã Nhà Bè,
Huyện Nhà Bè,"Các xã Nhơn Đức, Long Thới, Hiệp Phước",Xã Hiệp Phước,
Thành phố Bà Rịa,"Các phường Long Toàn, Phước Hưng, Phước Nguyên, Phước Trung",Phường Bà Rịa,
Thành phố Bà Rịa,"Các phường Kim Dinh, Long Hương
Xã Tân Hưng",Phường Long Hương,
Thành phố Bà Rịa,"Phường Long Tâm
Các xã Hòa Long, Long Phước",Phường Tam Long,
Thành phố Vũng Tàu,"Các phường 1, 2, 3, 4, 5, Thắng Nhì, Thắng Tam",Phường Vũng Tàu,
Thành phố Vũng Tàu,"Các phường 7, 8, 9, Nguyễn An Ninh",Phường Tam Thắng,
Thành phố Vũng Tàu,"Các phường 10, Thắng Nhất, Rạch Dừa",Phường Rạch Dừa,
Thành phố Vũng Tàu,"Các phường 11, 12",Phường Phước Thắng,
Thành phố Vũng Tàu,Xã Long Sơn,Xã Long Sơn,
Thành phố Phú Mỹ,"Các phường Mỹ Xuân, Phú Mỹ",Phường Phú Mỹ,
Thành phố Phú Mỹ,"Phường Hắc Dịch
Xã Sông Xoài",Phường Tân Thành,
Thành phố Phú Mỹ,"Các phường Phước Hòa, Tân Phước",Phường Tân Phước,
Thành phố Phú Mỹ,"Các phường Tân Hòa, Tân Hải",Phường Tân Hải,
Thành phố Phú Mỹ,"Các xã Châu Pha, Tóc Tiên",Xã Châu Pha,
Huyện Châu Đức,"Thị trấn Ngãi Giao
Các xã Bình Ba, Suối Nghệ",Xã Ngãi Giao,
Huyện Châu Đức,"Các xã Bình Giã, Bình Trung, Quảng Thành",Xã Bình Giã,
Huyện Châu Đức,"Thị trấn Kim Long
Các xã Bàu Chinh, Láng Lớn",Xã Kim Long,
Huyện Châu Đức,"Các xã Cù Bị, Xà Bang",Xã Châu Đức,
Huyện Châu Đức,"Các xã Sơn Bình, Suối Rao, Xuân Sơn",Xã Xuân Sơn,
Huyện Châu Đức,"Các xã Đá Bạc, Nghĩa Thành",Xã Nghĩa Thành,
Huyện Côn Đảo,Không phân chia,Đặc khu Côn Đảo,
Huyện Long Đất,"Thị trấn Đất Đỏ
Các xã Phước Long Thọ, Long Tân, Láng Dài",Xã Đất Đỏ,
Huyện Long Đất,"Thị trấn Long Hải
Các xã Phước Tỉnh, Phước Hưng",Xã Long Hải,
Huyện Long Đất,"Thị trấn Long Điền
Xã Tam An",Xã Long Điền,
Huyện Long Đất,"Thị trấn Phước Hải 
Xã Phước Hội",Xã Phước Hải,
Huyện Xuyên Mộc,Xã Hòa Hiệp,Xã Hòa Hiệp,
Huyện Xuyên Mộc,Xã Bình Châu,Xã Bình Châu,
Huyện Xuyên Mộc,"Thị trấn Phước Bửu
Các xã Phước Tân, Phước Thuận",Xã Hồ Tràm,
Huyện Xuyên Mộc,"Các xã Bông Trang, Bưng Riềng, Xuyên Mộc",Xã Xuyên Mộc,
Huyện Xuyên Mộc,"Các xã Hòa Bình, Hòa Hội, Hòa Hưng",Xã Hòa Hội,
Huyện Xuyên Mộc,"Các xã Bàu Lâm, Tân Lâm",Xã Bàu Lâm,
Thành phố Thủ Dầu Một,"Các phường Hòa Phú, Phú Mỹ, Phú Tân, Phú Chánh (thành phố Tân Uyên)",Phường Bình Dương,
Thành phố Thủ Dầu Một,"Các phường Định Hòa, Tương Bình Hiệp
Một phần các phường Chánh Mỹ, Hiệp An",Phường Chánh Hiệp,
Thành phố Thủ Dầu Một,"Các phường Phú Cường, Phú Thọ, Chánh Nghĩa
Một phần các phường Hiệp Thành, Chánh Mỹ",Phường Thủ Dầu Một,
Thành phố Thủ Dầu Một,"Các phường Phú Hòa, Phú Lợi
Một phần phường Hiệp Thành",Phường Phú Lợi,
Thành phố Thủ Dầu Một,"Các phường Tân An, Hiệp An
Xã Phú An (thành phố Bến Cát)",Phường Phú An,
Thành phố Bến Cát,"Phường An Tây 
 Một phần các xã Thanh Tuyền (huyện Dầu Tiếng), An Lập (huyện Dầu Tiếng)",Phường Tây Nam,
Thành phố Bến Cát,"Phường An Điền
Một phần phường Mỹ Phước
Xã Long Nguyên (huyện Bàu Bàng)",Phường Long Nguyên,
Thành phố Bến Cát,"Một phần phường Mỹ Phước
Các xã Lai Hưng (huyện Bàu Bàng), Tân Hưng (huyện Bàu Bàng)",Phường Bến Cát,
Thành phố Bến Cát,"Phường Chánh Phú Hòa
Xã Hưng Hòa (huyện Bàu Bàng)",Phường Chánh Phú Hòa,
Thành phố Bến Cát,"Các phường Hòa Lợi, Tân Định",Phường Hòa Lợi,
Thành phố Bến Cát,Phường Thới Hòa,Phường Thới Hòa,
Thành phố Dĩ An,"Các phường Bình An, Bình Thắng, Đông Hòa",Phường Đông Hòa,
Thành phố Dĩ An,"Các phường Dĩ An, An Bình
Một phần phường Tân Đông Hiệp",Phường Dĩ An,
Thành phố Dĩ An,"Phường Tân Bình
Một phần các phường Tân Đông Hiệp, Thái Hòa (thành phố Tân Uyên)",Phường Tân Đông Hiệp,
Thành phố Tân Uyên,"Phường Vĩnh Tân
Thị trấn Tân Bình (huyện Bắc Tân Uyên)",Phường Vĩnh Tân,
Thành phố Tân Uyên,"Phường Hội Nghĩa
Xã Bình Mỹ (huyện Bắc Tân Uyên)",Phường Bình Cơ,
Thành phố Tân Uyên,"Phường Uyên Hưng
Các xã Bạch Đằng, Tân Lập (huyện Bắc Tân Uyên)
Một phần xã Tân Mỹ (huyện Bắc Tân Uyên)",Phường Tân Uyên,
Thành phố Tân Uyên,"Các phường Khánh Bình, Tân Hiệp",Phường Tân Hiệp,
Thành phố Tân Uyên,"Các phường Thạnh Phước, Tân Phước Khánh, Tân Vĩnh Hiệp
Xã Thạnh Hội
Một phần phường Thái Hòa",Phường Tân Khánh,
Thành phố Thuận An,"Các phường An Thạnh, Hưng Định
Xã An Sơn",Phường Thuận An,
Thành phố Thuận An,"Phường Thuận Giao
Một phần phường Bình Chuẩn",Phường Thuận Giao,
Thành phố Thuận An,"Phường Bình Hòa
Một phần phường Vĩnh Phú",Phường Bình Hòa,
Thành phố Thuận An,"Các phường Bình Nhâm, Lái Thiêu
Một phần phường Vĩnh Phú",Phường Lái Thiêu,
Thành phố Thuận An,"Phường An Phú
Một phần phường Bình Chuẩn",Phường An Phú,
Huyện Bàu Bàng,"Các xã Cây Trường II, Trừ Văn Thố
Một phần thị trấn Lai Uyên",Xã Trừ Văn Thố,
Huyện Bàu Bàng,Một phần thị trấn Lai Uyên,Xã Bàu Bàng,
Huyện Bắc Tân Uyên,"Thị trấn Tân Thành
Các xã Đất Cuốc, Tân Định",Xã Bắc Tân Uyên,
Huyện Bắc Tân Uyên,"Các xã Thường Tân, Lạc An, Hiếu Liêm
Một phần xã Tân Mỹ",Xã Thường Tân,
Huyện Dầu Tiếng,"Xã Minh Hòa
Một phần các xã Minh Tân, Minh Thạnh",Xã Minh Thạnh,
Huyện Dầu Tiếng,"Các xã Long Hòa, Long Tân
Một phần các xã Minh Tân, Minh Thạnh",Xã Long Hòa,
Huyện Dầu Tiếng,"Thị trấn Dầu Tiếng
Các xã Định An, Định Thành
Một phần xã Định Hiệp",Xã Dầu Tiếng,
Huyện Dầu Tiếng,"Xã Thanh An
Một phần các xã Định Hiệp, Thanh Tuyền, An Lập",Xã Thanh An,
Huyện Phú Giáo,"Các xã An Linh, An Long, Tân Long",Xã An Long,
Huyện Phú Giáo,"Các xã An Thái, Phước Sang, Tân Hiệp",Xã Phước Thành,
Huyện Phú Giáo,"Các xã Vĩnh Hòa, Phước Hòa
Một phần xã Tam Lập",Xã Phước Hòa,
Huyện Phú Giáo,"Thị trấn Phước Vĩnh
Xã An Bình
Một phần xã Tam Lập",Xã Phú Giáo,
,,,
