Thành phố Việt Trì,,,
Thị xã Phú Thọ,,,
Huyện Cẩm Khê,,,
Huyện Đoan Hùng,,,
Huyện Hạ Hòa,,,
Huyện Lâm Thao,,,
Huyện Phù Ninh,,,
Huyện Tam Nông,,,
Huyện Tân Sơn,,,
Huyện Thanh Ba,,,
Huyện Thanh Sơn,,,
Huyện Thanh Thủy,,,
Huyện Yên Lập,,,
Thành phố Vĩnh Yên,"Phường Định Trung
Phường Liên Bảo
Phường Khai Quang
Phường Ngô Quyền
Phường Đống Đa",Phường Vĩnh Phúc,
Thành phố Vĩnh Yên,"Phường Tích Sơn
Phường Hội Hợp
Phường Đồng Tâm
Xã Thanh Trù",Phường Vĩnh Yên,
Thành phố Phúc Yên,"Phường Hai Bà Trưng
Phường Phúc Thắng
Phường Hùng Vương
Phường Tiền Châu
Phường Nam Viêm",Phường Phúc Yên,
Thành phố Phúc Yên,"Phường Xuân Hòa
Phường Đồng Xuân
Xã Cao Minh
Xã Ngọc Thanh",Phường Xuân Hòa,
Huyện Bình Xuyên,"Thị trấn Hương Canh
Xã Tam Hợp
Xã Quất Lưu
Xã Sơn Lôi",Xã Bình Nguyên,
Huyện Bình Xuyên,"Thị trấn Thanh Lãng
Xã Đạo Đức
Xã Tân Phong
Xã Phú Xuân",Xã Xuân Lãng,
Huyện Bình Xuyên,"Thị trấn Gia Khánh
Xã Hương Sơn
Xã Thiện Kế",Xã Bình Xuyên,
Huyện Bình Xuyên,"Xã Trung Mỹ
Thị trấn Bá Hiến",Xã Bình Tuyền,
Huyện Lập Thạch,"Thị trấnLập Thạch
Xã Xuân Hòa
Xã Tử Du
Xã Vân Trục",Xã Lập Thạch,
Huyện Lập Thạch,"Xã Tiên Lữ
Xã Xuân Lôi
Xã Văn Quán
Xã Đồng Ích",Xã Tiên Lữ,
Huyện Lập Thạch,"Xã Bắc Bình
Xã Thái Hòa
Xã Liễn Sơn",Xã Thái Hòa,
Huyện Lập Thạch,"Thị trấn Hoa Sơn
Xã Liên Hòa
Xã Bàn Giản",Xã Liên Hòa,
Huyện Lập Thạch,"Xã Ngọc Mỹ
Xã Quang Sơn
Xã Hợp Lý",Xã Hợp Lý,
Huyện Lập Thạch,"Xã Tây Sơn
Xã Sơn Đông
Xã Cao Phong (huyện Sông Lô)",Xã Sơn Đông,
Huyện Sông Lô,"Thị trấn Tam Sơn
Xã Đồng Quế
Xã Tân Lập",Xã Tam Sơn,
Huyện Sông Lô,"Xã Tứ Yên
Xã Đồng Thịnh
Xã Đức Bác
Xã Yên Thạch",Xã Sông Lô,
Huyện Sông Lô,"Xã Nhân Đạo
Xã Hải Lựu
Xã Đôn Nhân
Xã Phương Khoan",Xã Hải Lựu,
Huyện Sông Lô,"Xã Quang Yên
Xã Lãng Công",Xã Yên Lãng,
Huyện Tam Đảo,"Thị trấn Hợp Châu
Thị trấn Tam Đảo
Xã Hồ Sơn
Xã Minh Quang",Xã Tam Đảo,
Huyện Tam Đảo,"Thị trấn Đại Đình
Xã Bồ Lý",Xã Đại Đình,
Huyện Tam Đảo,"Xã Đạo Trù
Xã Yên Dương",Xã Đạo Trù,
Huyện Tam Dương,"Thị trấn Hợp Hòa
Xã Kim Long
Xã Hướng Đạo
Xã Đạo Tú",Xã Tam Dương,
Huyện Tam Dương,"Xã Duy Phiên
Xã Hội Thịnh
Xã Thanh Vân",Xã Hội Thịnh,
Huyện Tam Dương,"Xã An Hòa
Xã Hoàng Đan
Xã Hoàng Lâu",Xã Hoàng An,
Huyện Tam Dương,"Xã Đồng Tĩnh
Xã Hoàng Hoa
Xã Tam Quan (huyện Tam Đảo)",Xã Tam Dương Bắc,
Huyện Vĩnh Tường,"Thị trấn Vĩnh Tường
Xã Tứ Trưng
Xã Lương Điền
Xã Vũ Di",Xã Vĩnh Tường,
Huyện Vĩnh Tường,"Thị trấn Thổ Tang
Xã Thượng Trưng
Xã Tuân Chính",Xã Thổ Tang,
Huyện Vĩnh Tường,"Xã Nghĩa Hưng
Xã Yên Lập
Xã Đại Đồng",Xã Vĩnh Hưng,
Huyện Vĩnh Tường,"Xã Kim Xá
Xã Yên Bình
Xã Chấn Hưng",Xã Vĩnh An,
Huyện Vĩnh Tường,"Xã Ngũ Kiên
Xã An Nhân
Xã Vĩnh Thịnh
Xã Vĩnh Phú",Xã Vĩnh Phú,
Huyện Vĩnh Tường,"Xã Sao Đại Việt
Xã Lũng Hòa
Xã Tân Phú",Xã Vĩnh Thành,
Huyện Yên Lạc,"Thị trấn Yên Lạc
Xã Bình Định
Xã Đồng Cương",Xã Yên Lạc,
Huyện Yên Lạc,"Xã Đồng Văn
Xã Tề Lỗ
Xã Trung Nguyên",Xã Tề Lỗ,
Huyện Yên Lạc,"Xã Đại Tự
Xã Hồng Châu
Xã Liên Châu",Xã Liên Châu,
Huyện Yên Lạc,"Thị trấn Tam Hồng
Xã Yên Phương
Xã Yên Đồng",Xã Tam Hồng,
Huyện Yên Lạc,"Xã Nguyệt Đức
Xã Văn Tiến
Xã Trung Kiên
Xã Trung Hà",Xã Nguyệt Đức,
Thành phố Hòa Bình,,Phường Hòa Bình,
Thành phố Hòa Bình,,Phường Thống Nhất,
Thành phố Hòa Bình,,Phường Kỳ Sơn,
Thành phố Hòa Bình,,Phường Tân Hòa,
Thành phố Hòa Bình,,Xã Thịnh Minh,
Huyện Cao Phong,,Xã Cao Phong,
Huyện Cao Phong,,Xã Mường Thàng,
Huyện Cao Phong,,Xã Thung Nai,
Huyện Đà Bắc,,Xã Đà Bắc,
Huyện Đà Bắc,,Xã Tiền Phong,
Huyện Đà Bắc,,Xã Cao Sơn,
Huyện Đà Bắc,,Xã Tân Pheo,
Huyện Đà Bắc,,Xã Đức Nhàn,
Huyện Đà Bắc,,Xã Quy Đức,
Huyện Kim Bôi,,Xã Mường Động,
Huyện Kim Bôi,,Xã Nật Sơn,
Huyện Kim Bôi,,Xã Hợp Kim,
Huyện Kim Bôi,,Xã Dũng Tiến,
Huyện Kim Bôi,,Xã Kim Bôi,
Huyện Lạc Sơn,,Xã Ngọc Sơn,
Huyện Lạc Sơn,,Xã Quyết Thắng,
Huyện Lạc Sơn,,Xã Thượng Cốc,
Huyện Lạc Sơn,,Xã Lạc Sơn,
Huyện Lạc Sơn,,Xã Đại Đồng,
Huyện Lạc Sơn,,Xã Yên Phú,
Huyện Lạc Sơn,,Xã Mường Vang,
Huyện Lạc Sơn,,Xã Nhân Nghĩa,
Huyện Lạc Thủy,,Xã Lạc Thủy,
Huyện Lạc Thủy,,Xã An Nghĩa,
Huyện Lạc Thủy,,Xã An Bình,
Huyện Lương Sơn,,Xã Lương Sơn,
Huyện Lương Sơn,,Xã Liên Sơn,
Huyện Lương Sơn,,Xã Cao Dương,
Huyện Mai Châu,,Xã Pà Cò,
Huyện Mai Châu,,Xã Bao La,
Huyện Mai Châu,,Xã Mai Hạ,
Huyện Mai Châu,,Xã Mai Châu,
Huyện Mai Châu,,Xã Tân Mai,
Huyện Tân Lạc,,Xã Tân Lạc,
Huyện Tân Lạc,,Xã Mường Bi,
Huyện Tân Lạc,,Xã Mường Hoa,
Huyện Tân Lạc,,Xã Toàn Thắng,
Huyện Tân Lạc,,Xã Vân Sơn,
Huyện Yên Thủy,,Xã Yên Thủy,
Huyện Yên Thủy,,Xã Yên Trị,
Huyện Yên Thủy,,Xã Lạc Lương,
